"DateTime","7-day moving average","Number of flights"
"2020-01-09",178076,185552
"2020-01-10",179282,183890
"2020-01-11",177687,154564
"2020-01-12",176103,161515
"2020-01-13",174255,171632
"2020-01-14",172803,173162
"2020-01-15",173944,187297
"2020-01-16",174154,187023
"2020-01-17",174764,188157
"2020-01-18",175720,161254
"2020-01-19",176331,165794
"2020-01-20",178826,189099
"2020-01-21",181355,190867
"2020-01-22",180920,184248
"2020-01-23",181318,189810
"2020-01-24",181517,189551
"2020-01-25",181667,162301
"2020-01-26",181449,164267
"2020-01-27",179682,176736
"2020-01-28",177889,178310
"2020-01-29",177914,184425
"2020-01-30",177404,186239
"2020-01-31",176746,184949
"2020-02-01",175570,154067
"2020-02-02",174770,158666
"2020-02-03",175156,179441
"2020-02-04",174070,170708
"2020-02-05",172705,174865
"2020-02-06",170661,171934
"2020-02-07",170184,181611
"2020-02-08",172443,169881
"2020-02-09",171584,152651
"2020-02-10",168731,159472
"2020-02-11",167461,161819
"2020-02-12",167653,176204
"2020-02-13",168317,176585
"2020-02-14",169889,192613
"2020-02-15",169805,169293
"2020-02-16",170475,157345
"2020-02-17",172520,173785
"2020-02-18",174004,172208
"2020-02-19",175109,183938
"2020-02-20",176087,183430
"2020-02-21",176679,196756
"2020-02-22",177533,175274
"2020-02-23",178806,166252
"2020-02-24",178806,173788
"2020-02-25",178842,172456
"2020-02-26",177380,173708
"2020-02-27",177882,186942
"2020-02-28",177506,194125
"2020-02-29",176346,167154
"2020-03-01",176520,167470
"2020-03-02",176363,172689
"2020-03-03",176997,176892
"2020-03-04",178235,182378
"2020-03-05",178483,188674
"2020-03-06",177692,188587
"2020-03-07",177885,168507
"2020-03-08",178416,171187
"2020-03-09",178796,175350
"2020-03-10",177982,171193
"2020-03-11",177834,181341
"2020-03-12",176583,179920
"2020-03-13",174208,171961
"2020-03-14",172383,155729
"2020-03-15",169859,153521
"2020-03-16",167279,157293
"2020-03-17",164012,148325
"2020-03-18",158725,144330
"2020-03-19",151899,132135
"2020-03-20",145781,129138
"2020-03-21",140043,115564
"2020-03-22",132709,102181
"2020-03-23",123842,95227
"2020-03-24",116730,98539
"2020-03-25",109608,94477
"2020-03-26",104585,96970
"2020-03-27",98890,89276
"2020-03-28",92311,69508
"2020-03-29",86931,64522
"2020-03-30",83941,74295
"2020-03-31",80930,77465
"2020-04-01",78923,80431
"2020-04-02",75931,76022
"2020-04-03",73575,72785
"2020-04-04",72441,61570
"2020-04-05",71376,57065
"2020-04-06",70394,67420
"2020-04-07",69778,73157
